title,director,year,genre,country
['? (фильм)'],['Ханун Брамантйо'],"['7 апреля', '2011']",['драматический фильм'],"['\xa0', 'Индонезия']"
['2 дурня в снегу'],['Жан-Луи Гийерму'],['1977'],['комедия'],['Франция']
['2 дня в Париже'],['Жюли Дельпи'],['2007'],"['комедия', 'драма', 'мелодрама']","['Франция', 'Германия']"
['2 секунды'],['Манон Брайан'],['1998'],['комедия'],['Канада']
['2:37'],['Мулари К. Теллури'],['2006'],['драматический фильм'],"['\xa0', 'Австралия']"
['2 Girls 1 Cup'],['Марко Фиорито'],"['5 января', '2007']",['порнофильм'],"['\xa0', 'Бразилия']"
['2:22'],[],['2017'],['триллер'],"['США', 'Австралия']"
[],['Хьюго Желен'],"['2016', '5 декабря 2016']","['драма', 'семейный', 'Музыка к фильму']","['Франция', 'Великобритания']"
['2-Асса-2'],['Сергей Соловьёв'],['2008'],['драма'],['Россия']
['1+1: Голливудская история'],['Нил Бёргер'],"['2017', '2019']",['комедийная драма'],['США']
['1 миля до тебя'],['Лейф Тильден'],['2017'],"['драма', 'мелодрама']",['США']
['1+1 (фильм)'],"['Оливье Накаш', 'Эрик Толедано']",['2011'],"['комедийная драма', 'бадди-муви']",['Франция']
['1 % (фильм)'],['Стив МакКаллум'],['2017'],['криминальный'],['Австралия']
['0-41*'],['Сенна Хегде'],['2016'],"['документальный', 'драма', 'комедия']",['Индия']
['1 (документальный фильм)'],['Пол Краудер'],['2013'],['документальный'],['США']
['01-99'],['Амасий Мартиросян'],['1959'],['комедия'],['СССР']
['1 Night in China'],"['Шон Уолтман', 'Чайна']",['2004'],['порнофильм'],"['\xa0', 'США']"
['(Не)идеальные роботы'],"['Энтони Хайнс', 'Каспер Кристенсен']",['2023'],"['комедия', 'фантастика', 'мелодрамма']",['США']
['…и передайте привет ласточкам'],['Яромил Йиреш'],['1972'],"['драма, военный']",['Чехословакия']
